Тема,Номер вопроса,Вопрос,Картинка,Ответ,Неверные ответы
Первая мировая война,1,Первая мировая война началась в 1914 году? ,-,Да,
,,Первая мировая война закончилась в 1918 году?,-,Да,
,,Участвовала ли Испания в Первой мировой войне? ,-,Нет,
,,Битва при Сомме была в 1916 году? ,-,Да,
,,Убийство Франца Фердинанда стало поводом к началу Первой мировой войны? ,-,Да,
,,Битва при Танненберге состаялась в 1916 году? ,-,Нет,
,,Битва при Вердене была самой длинной в истории Первой мировой войны?  ,-,Да,
,,Была ли Австро-Венгрия союзником Германии в Первой мировой войне?,-,Да,
,,Битва на Марне состаялась в 1915 году?,-,Нет,
,,Распутин был убит во время Первой мировой войны? ,-,Да,
,2,Была ли Россия в составе Антанты? ,-,Да,
,,Соединённые Штаты Америки вступили в Первую мировую войну 6 апреля 1916 года? ,-,Нет,
,,Брестский мир подписывался в 1917 году? ,-,Нет,
,,Италия изначально входила в Тройственный союз? ,-,Да,
,,Брестский мир подписала Советская Россия? ,-,Да,
,, Япония входила в Антанту? ,-,Да,
,,Германия подписала Версальский мир в 1919 году? ,-,Да,
,,Османская империя входила в состав Антанты?,-,Нет,
,,Россия была выведена из Первой мировой войны до её окончания? ,-,Да,
,,Турция была союзницей Франции в Первой мировой войне?,-,Нет,
,3,"Кто этот человек?  Последний император России, правивший во время Первой мировой войны.",images\img_1.png,Николай II,"Николай I, Александр III"
,,"Кто этот человек?  Сербский националист, убийца эрцгерцога Франца Фердинанда.",images\img_2.png,Принцип/Гаврило Принцип,"Радомир Путник, Жозеф Жоффр"
,,"Кто этот человек? Президент США, предложивший «14 пунктов» мира.",,Вудро Вильсон/Вильсон,"Джон Першинг, Уоррен Гардинг"
,,"Кто этот человек?  Французский маршал, командующий войсками Антанты в конце Первой мировой войны.",,Фердинанд Фош/Фош,"Анри Филипп Петэн, Робер Нивель"
,,"Кто этот человек?  Германский император, правивший до 1918 года.",,Вильгельм II/Кайзер Вильгельм II,"Август фон Макензен, Рупрехт Баварский"
,,Кто этот человек? Последний премьер-министр Великобритании от Либеральной партии (1916–1922) ,,Ллойд Джордж,"Дуглас Хейг, Джон Дентон Пикстон Френч"
,,Кто этот человек?  Глава Временного правительства России в 1917 году.,,Керенский,"Сухомлинов, Львов"
,,"Кто этот человек? Германский генерал, один из авторов плана наступления 1918 года (операции «Наступление ради мира»).",,Людендорф/Эрих Людендорф,"Конрад фон Гётцендорф, Александр фон Клюк"
,,"Кто этот человек? Немецкий революционер, объявивший о создании Веймарской республики в 1918 году.",,Филипп Шейдеман/Шейдеман,"Карл Либкнехт, Эрнст Тельман"
,,"Кто этот человек? Германский фельдмаршал, позднее президент Веймарской республики.",,Пауль фон Гинденбург/Гинденбург,"Эрих фон Фалькенгайн , Эрих Людендорф "
,4,Какое сражение (под каким городом) произошло в 1916 году?  ,images\img_11.png, Верденское сражение,"Штурм Льежа, Марнское сражение"
,,Какая битва/операция произошла в этом месте в 1915-1916 годах? ,,Дарданелльская операция/Галлиполийская битва,"Дилиманское сражение, Августовская операция"
,,Какая страна обозначена на карте? ,,Османская империя,"Иран, Саудовская Аравия"
,,Какой фронт обозначен на карте? ,,Восточный/Восточный фронт,"Итальянский фронт, Западный фронт"
,,Какой пролив был ключевым в Дарданелльской операции?,, Дарданеллы,"Босфор, Ла-Манш"
,,Какая страна обозначена на карте? ,,Сербия,"Иран, Румыния"
,,Какой город обозначен на карте (обведен красным)? ,,Париж,"Гавр, Орлеан"
,,Какой регион обозначен красным на карте? ,,Эльзас-Лотарингия/Эльзас и Лотарингия,"Босния и Герцеговина, Палестина"
,,Какой фронт обозначен на карте? ,,Итальянский/Итальянский фронт,"Восточный, Западный"
,,Какой город обозначен красным на карте?,,Сараево,"Белград, София"
,5,Как назывался план быстрого разгрома Франции Германией? ,-,Шлиффена/план Шлиффена,
,,Какой газ впервые массово применили в Первой мировой? ,-,Хлор,
,,"Как назывался союз Германии, Австро-Венгрии и Италии?",-,Тройственный/Тройственный союз,
,,Какой новый вид вооружения впервые массово использовался в Первой мировой войне? ,-,Танки,
,,"Как назывался корабль, потопление которого послужило причиной вступления США в Первую мировую войну? ",-,Лузитания,
,,Как называлась крупнейшая морская битва Первой мировой войны?,-,Ютландская/Ютландское сражение,
,,Как называлась первая химическая атака в истории? ,-,Ипр/Чёрный день у Ипра,
,,Какой договор завершил войну на Восточном фронте в Первую мировую войну? ,-,Брестский мирный договор/Брестский/Брестский мир,
,,Как называлась последняя крупная операция Германии в 1918 году? ,-,Весеннее наступление/Михаэль,
,,Как называлась наступательная операция русского Юго-Западного фронта летом 1916 года в ходе Первой мировой войны?,-,Брусиловский прорыв,
Вторая мировая война,1,Вторая мировая война началась в 1941?,-,Нет,
,,"Ленд-лиз - программа, разработанная для поставки оружия из США в СССР?",-,Нет,
,,Основным союзником Германии была Великобритания?,-,Нет,
,,СССР участвовал во Второй мирововй войне с момента ее начала?,-,Нет,
,,Сталинградская битва стала переломной в ходе Великой отечественной войны?,-,Да,
,,Главным союзником Германии была Италия?,-,Да,
,,Суд над главными лицами военной Германии проходил в Берлине?,-,Нет,
,,Первая атомная бомба была сброшена на Берлин?,-,Нет,
,,Адольф Гитлер был приговорен к смертной казни?,-,Нет,
,,Италия вышла из войны раньше её официального окончания?,-,Да,
,2,Япония подписала акт о капитуляции раньше Германии?,-,Нет,
,,"Контрнаступительная операция СССР при Сталинграде называлась ""Уран""?",-,Да,
,,Осужденные в ходе Нюрнбергского процесса были казнены через расстрел?,-,Нет,
,,"Верно ли, что Франция капитулировала перед Германией быстрее, чем Польша в 1939 году?",-,Нет,
,,Первые решения касательно дальнейшего устройства мира после Второй мировой были приняты на Ялтинской конфернции?,-,Да,
,,Был ли танк «Тигр» был советским?,-,Нет,
,,Уинстон Черчилль возглавлял Великобританию с начала и до конца войны?,-,Нет,
,,"Правда ли, что битва за Москву началась до нападения Японии на Перл-Харбор",-,Да,
,,Первыми атомною бомбу создали в Германии?,-,Нет,
,,"Верно ли, что Япония пошла на переговоры сразу после капитуляции Германии?",-,Нет,
,3,"Кто изображен на фото? Маршал СССР, командовал обороной Москвы",,Георгий Жуков,"Михаил Тухачевский, Климент Ворошилов"
,,"Чей это портрет? Британский премьер-министр, чья речь считается точкой начала Холодной войны",,Уинстон Черчилль,"Невилл Чемберлен, Дуайт Эйзенхауэр"
,,"Кто это? Президент США, в годы правления которого произошла бомбардировка Японии",,Гарри Трумэн,"Франклин Рузвельт, Олбен Баркли"
,,"Кто этот человек? Лидер фашистской Италии, союзник Гитлера",,Бенито Муссолини,"Дино Гранди, Леонид Биссолати"
,,"Кто это? Президент США, инициатор программы ленд-лиза",,Франклин Рузвельт,"Гарри Трумэн, Джон Гарнер"
,,"Кто изображен на портрете? Лидер «Свободной Франции», объединил французское сопротивление против нацистов",,Шарль де Голль,"Мишель Дебре, Рене Коти"
,,"Кто это? Руководил обороной Москвы, Сталинградской и Курской битвами, взятием Берлина",,Константин Рокоссовский,"Георгий Жуков, Михаил Тухачевский"
,,Кто на фото? Министр иностранных дел Германии,,Иоахим фон Риббентроп,"Адольф Гитлер, Герман Геринг"
,,"Кто это? Командующий бомбардировочной авиацией Великобритании, архитектор стратегических бомбардировок Германии",,Артур Харрис,"Бернард Монтгомери, Алан Тьюринг"
,,"Чей это портрет? Начальник Генштаба, планировал ключевые операции (Сталинград, Кёнигсберг), координировал действия фронтов",,Александр Василевский,"Климент Ворошилов, Лаврентий Берия"
,4,"Выберите название военного плана, изображённого на карте",,Барбаросса,"Вайс, Гельб"
